GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
0.25,4,0,1,3.3578,42.679,0,2.1083,4.3773,0,1.0812,13.742,0,1.4094,0,3.5236,0,0,0.13861,22.393,0,0.36139,4.5934,0,0,0,0,0.23556,0,0
1,4,0,1,10.358,28.331,5.66E-26,0.9381,13.715,1.81E-25,2.2707,6.2108,1.19E-26,3.0066,3.94E-26,7.5165,1.41E-26,3.96E-26,1.374,10.28,8.18E-31,3.6387,9.9528,4.59E-26,1.89E-26,2.88E-32,1.31E-25,2.4091,1.21E-32,6.23E-26
2,4,0,1,15.207,18.197,4.62E-25,0.38944,20.369,1.48E-24,2.1795,2.6082,6.24E-26,2.9194,2.08E-25,7.2984,1.71E-25,2.10E-25,3.0495,4.3669,-3.99E-31,8.1692,9.7758,5.62E-25,2.32E-25,-1.22E-31,7.01E-25,5.4711,-5.20E-32,7.72E-25
3,4,0,1,17.663,12.998,-8.36E-24,0.19928,23.803,-2.66E-23,1.8246,1.3427,-8.03E-25,2.4588,-2.69E-24,6.1471,-3.62E-24,-2.72E-24,4.1766,2.2618,-3.08E-30,11.257,8.2839,-1.19E-23,-4.92E-24,9.03E-31,-9.14E-24,7.5848,3.85E-31,-1.65E-23
4,4,0,1,19.07,9.9989,7.62E-22,0.11811,25.79,2.43E-21,1.5232,0.79867,5.62E-23,2.06,1.89E-22,5.15,3.58E-22,1.91E-22,4.911,1.3502,2.98E-30,13.283,6.9648,1.18E-21,4.88E-22,2.92E-31,6.45E-22,8.9821,1.24E-31,1.64E-21
0,0,0.25,1,9.25E-16,1.02E-18,7.613,80.881,-1.77E-31,6.99E-20,1.35E-15,1.49E-18,11.123,-1.38E-32,1.02E-19,-6.75E-32,9.29E-17,1.02E-19,5.64E-33,8.60E-32,0.38242,5.88E-44,2.83E-44,-2.81E-32,-3.22E-33,7.03E-21,1.55E-33,1.02E-43,3.85E-35,3.62E-46
0.25,0,0.25,1,15.459,0,5.7148,49.23,0,0,19.077,0,7.0524,0,0,0,1.3664,0,1.8482,0,0.25257,0,0,0,0,0,0,0,0,0
1,0,0.25,1,37.328,0,2.8662,13.509,0,0,27.703,0,2.1272,0,0,0,2.1811,0,14.203,0,0.08374,0,0,0,0,0,0,0,0,0
2,0,0.25,1,46.723,6.14E-17,1.5175,3.8348,6.39E-17,5.13E-18,19.862,2.60E-17,0.64511,2.70E-17,2.16E-18,6.72E-17,1.6707,2.19E-18,25.719,4.42E-35,0.027131,6.99E-17,9.16E-35,5.38E-18,2.27E-18,1.83E-19,7.42E-36,4.75E-35,3.12E-37,7.56E-36
3,0,0.25,1,50.163,0,0.98964,1.6247,0,0,14.286,0,0.28184,0,0,0,1.2391,0,31.403,0,0.012223,0,0,0,0,0,0,0,0,0
