GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
2,0.25,4,1,31.078,1.6653,14.763,1.4049,2.0446,2.2798,8.2253,0.43377,3.8832,0.51417,0.59535,1.2448,11.337,0.60201,12.106,0.033893,2.685,1.5073,0.079093,1.6665,0.70794,0.8297,0.093729,0.047186,0.064746,0.10802
3,0.25,4,1,36.535,1.2659,11.028,0.77305,2.4616,1.7605,7.273,0.24685,2.1728,0.47024,0.34344,1.1436,10.194,0.34873,17.174,0.019997,1.5284,2.2141,0.075086,1.5533,0.65882,0.48825,0.056228,0.071731,0.039502,0.10418
4,0.25,4,1,39.859,1.014,8.7367,0.48065,2.727,1.4248,6.3097,0.15692,1.3652,0.41701,0.22,1.0176,8.9375,0.22414,20.767,0.013011,0.97085,2.7388,0.068231,1.3942,0.59068,0.31685,0.036959,0.090726,0.026242,0.095603
0,1,4,1,1.73E-19,11.132,22.946,3.8217,4.59E-20,14.182,7.12E-20,4.7241,9.7377,1.78E-20,6.0185,4.30E-20,9.02E-20,6.0185,4.42E-40,1.4599,6.2029,2.01E-40,1.09E-20,5.33E-20,2.25E-20,7.6675,3.7198,2.99E-41,2.3695,1.37E-20
0.25,1,4,1,4.9603,9.9434,20.455,2.9771,1.3319,12.835,1.8236,3.751,7.6986,0.46489,4.8452,1.1235,2.3432,4.8527,0.28845,1.1834,4.978,0.14562,0.28985,1.4132,0.59715,6.2719,3.0603,0.01847,1.9779,0.37092
1,1,4,1,15.398,7.3738,15.108,1.5379,4.2714,9.8131,4.1866,2.0243,4.1138,1.115,2.6972,2.7048,5.5562,2.7133,2.919,0.66993,2.7538,1.5427,0.72893,3.509,1.4808,3.6243,1.7926,0.20473,1.1978,0.96308
2,1,4,1,23.339,5.3444,10.924,0.76316,6.6489,7.3025,4.5654,1.0418,2.0992,1.2604,1.4229,3.0711,6.2249,1.4381,6.9428,0.35884,1.4468,3.8112,0.85771,4.0861,1.721,1.9742,0.98773,0.52514,0.67866,1.1638
3,1,4,1,27.945,4.1348,8.4437,0.44096,8.0909,5.7459,4.2048,0.61573,1.2334,1.1867,0.85287,2.9015,5.8289,0.86505,10.145,0.21734,0.86545,5.7006,0.82802,3.9189,1.6481,1.2074,0.60847,0.80375,0.42527,1.1418
4,1,4,1,30.88,3.3507,6.8403,0.28316,9.0356,4.7101,3.7514,0.4014,0.80044,1.0742,0.5607,2.6336,5.2571,0.57029,12.537,0.14397,0.56833,7.1544,0.76214,3.591,1.5085,0.80451,0.40744,1.0241,0.28797,1.062
0,2,4,1,2.85E-28,16.114,14.516,1.6205,1.68E-28,20.529,7.74E-29,4.5835,4.129,4.42E-29,5.8393,1.08E-28,9.77E-29,5.8393,9.34E-35,3.241,2.6302,1.13E-34,6.21E-29,1.34E-28,5.60E-29,7.4392,8.2581,4.40E-35,5.2603,7.83E-29
0.25,2,4,1,3.4096,14.561,13.22,1.303,2.0244,18.779,0.84008,3.7254,3.3653,0.48548,4.8061,1.1843,1.0738,4.8131,0.14146,2.6656,2.1737,0.16183,0.68951,1.4864,0.6223,6.2134,6.8848,0.046426,4.4438,0.88056
1,2,4,1,10.886,11.11,10.277,0.7289,6.586,14.752,2.0519,2.1364,1.9428,1.2149,2.8371,2.9704,2.7016,2.8523,1.4926,1.5714,1.2966,1.7527,1.7721,3.8376,1.6048,3.7977,4.19,0.51601,2.7892,2.3311
2,2,4,1,16.947,8.2673,7.7794,0.3891,10.414,11.27,2.3744,1.165,1.0652,1.4348,1.5848,3.5182,3.2077,1.5997,3.7082,0.87745,0.73156,4.4522,2.1421,4.659,1.9453,2.1879,2.4046,1.3398,1.6443,2.8912
3,2,4,1,20.659,6.5069,6.1929,0.23564,12.82,9.0272,2.2758,0.71516,0.65581,1.3928,0.98707,3.4234,3.1251,0.99924,5.5901,0.54676,0.45874,6.8064,2.1108,4.604,1.92,1.3902,1.5242,2.0768,1.0602,2.8958
4,2,4,1,23.118,5.334,5.1173,0.15613,14.438,7.4916,2.0868,0.47825,0.43919,1.2881,0.66611,3.1722,2.8973,0.67585,7.0646,0.36931,0.31106,8.6837,1.9722,4.3098,1.7958,0.95109,1.0412,2.6743,0.73262,2.7355
0,3,4,1,9.71E-29,18.609,10.295,0.84011,9.18E-29,23.708,1.92E-29,3.8692,2.1406,1.79E-29,4.9292,4.39E-29,2.42E-29,4.9292,-9.22E-43,4.4549,1.3635,-1.47E-42,4.10E-29,5.44E-29,2.26E-29,6.2798,11.351,-5.84E-43,7.2305,5.17E-29
0.25,3,4,1,2.5342,16.947,9.4897,0.68954,2.4072,21.844,0.4589,3.1964,1.7794,0.42938,4.1209,1.0537,0.58483,4.1261,0.079924,3.7069,1.1485,0.14817,0.99091,1.3219,0.54974,5.3225,9.567,0.068812,6.17,1.2644
1,3,4,1,8.2477,13.179,7.5952,0.40585,7.9238,17.473,1.1672,1.9102,1.0791,1.1079,2.5318,2.723,1.5297,2.5434,0.86917,2.2533,0.7186,1.6371,2.5981,3.5116,1.4591,3.3794,5.9944,0.77237,3.981,3.41
2,3,4,1,13.069,9.9809,5.9041,0.22702,12.678,13.581,1.4036,1.0829,0.61947,1.3488,1.4698,3.3218,1.8859,1.4815,2.2255,1.2967,0.42426,4.2501,3.2089,4.3892,1.8215,2.021,3.543,2.0327,2.4151,4.3185
3,3,4,1,16.125,7.9481,4.7843,0.14176,15.739,11.009,1.3809,0.68208,0.39318,1.3374,0.93952,3.2993,1.8856,0.94935,3.4273,0.82479,0.27429,6.604,3.2122,4.428,1.8359,1.3176,2.2924,3.1864,1.5894,4.394
4,3,4,1,18.198,6.5682,4.0024,0.095904,17.836,9.2129,1.2895,0.46422,0.26887,1.2556,0.64554,3.1017,1.7805,0.65355,4.3985,0.56507,0.18998,8.5276,3.0358,4.2071,1.7431,0.91784,1.5886,4.1395,1.1145,4.1993
0,4,4,1,-1.12E-27,20.033,7.8866,0.50177,-1.48E-27,25.522,-1.73E-28,3.2475,1.2785,-2.26E-28,4.1373,-5.57E-28,-2.18E-28,4.1373,2.92E-40,5.2546,0.81439,6.75E-40,-7.30E-28,-6.92E-28,-2.86E-28,5.2708,13.388,3.92E-40,8.5284,-9.21E-28
0.25,4,4,1,1.9963,18.337,7.3196,0.41727,2.639,23.627,0.28362,2.7122,1.0762,0.3716,3.495,0.91564,0.36083,3.4988,0.050374,4.4092,0.69421,0.13092,1.204,1.1489,0.47546,4.5111,11.373,0.085183,7.331,1.536
1,4,4,1,6.5795,14.441,5.9581,0.25372,8.7624,19.125,0.74029,1.6658,0.67348,0.97892,2.2053,2.4147,0.96762,2.2139,0.55899,2.739,0.44775,1.468,3.205,3.1121,1.287,2.9373,7.275,0.96505,4.8237,4.2015
2,4,4,1,10.549,11.067,4.7063,0.14631,14.139,15.039,0.91281,0.96933,0.39832,1.2168,1.3138,3.0056,1.2225,1.3227,1.4605,1.6102,0.27221,3.8708,4.0218,3.9678,1.6393,1.801,4.3901,2.568,2.9861,5.4034
3,4,4,1,13.122,8.885,3.8561,0.09324,17.661,12.289,0.91365,0.62142,0.25798,1.2242,0.85494,3.0277,1.2435,0.86253,2.2819,1.0393,0.17957,6.0848,4.0725,4.0603,1.6763,1.1949,2.8822,4.061,1.9938,5.5613
4,4,4,1,14.896,7.3843,3.2515,0.063973,20.104,10.344,0.86372,0.42813,0.17893,1.1615,0.59484,2.8754,1.1887,0.60112,2.9596,0.71936,0.12616,7.9253,3.8813,3.8978,1.6084,0.84278,2.0182,5.3114,1.4128,5.3602
